Date,Marketing Channel,Impressions,Clicks,Leads,Qualified Leads,Sales Calls,Customers,Revenue,Ad Spend
2025-01-21,Email Marketing,5737,787,271,166,133,49,250914.5,1766.73
2025-01-21,Facebook Ads,8398,135,25,10,7,1,4400.3,1836.55
2025-01-21,Google Ads,11181,571,146,73,54,16,96830.09,8495.72
2025-01-21,Instagram Ads,8842,120,22,10,6,1,4882.59,883.66
2025-01-21,LinkedIn Ads,4836,180,45,32,24,9,130266.75,5688.41
2025-01-21,Organic Search,8223,381,102,53,42,16,133905.53,519.77
2025-01-21,Referral,2976,445,202,145,116,57,510205.69,1312.57
2025-01-21,YouTube Ads,6396,150,23,8,5,0,0.0,2802.41
2025-01-22,Email Marketing,5226,606,203,123,94,31,171004.27,2974.39
2025-01-22,Facebook Ads,13263,343,68,36,28,6,31108.2,3408.66
2025-01-22,Google Ads,12427,531,124,68,57,14,94304.37,12037.94
2025-01-22,Instagram Ads,17035,261,48,22,16,3,16854.2,3134.81
2025-01-22,LinkedIn Ads,2718,67,18,11,9,3,43061.25,2341.29
2025-01-22,Organic Search,11910,631,165,84,66,26,161732.75,928.9
2025-01-22,Referral,1509,229,99,72,59,25,228008.29,511.65
2025-01-22,YouTube Ads,6169,82,12,5,3,0,0.0,1512.22
2025-01-23,Email Marketing,7849,679,249,147,123,39,260372.99,2768.88
2025-01-23,Facebook Ads,8472,142,27,14,9,2,8593.37,1177.32
2025-01-23,Google Ads,10853,608,134,69,51,13,101527.62,11741.51
2025-01-23,Instagram Ads,17852,489,63,32,22,5,24155.96,4979.57
2025-01-23,LinkedIn Ads,3955,131,25,15,11,4,53468.65,4458.86
2025-01-23,Organic Search,14501,976,234,131,102,41,360506.69,1035.32
2025-01-23,Referral,3068,514,216,154,126,58,520465.08,623.58
2025-01-23,YouTube Ads,11995,131,28,11,8,1,5476.9,2052.79
2025-01-24,Email Marketing,4900,528,189,114,92,34,218832.37,2343.77
2025-01-24,Facebook Ads,17814,299,61,24,16,3,16172.8,3221.19
2025-01-24,Google Ads,13785,580,134,80,65,21,132441.75,12747.32
2025-01-24,Instagram Ads,11274,216,32,13,8,1,5136.43,2424.41
2025-01-24,LinkedIn Ads,4477,131,28,20,15,5,58531.2,3997.18
2025-01-24,Organic Search,14599,594,128,64,48,21,184403.18,883.26
2025-01-24,Referral,1180,228,99,65,53,22,174281.14,357.9
2025-01-24,YouTube Ads,10621,220,37,16,11,1,4243.77,3109.81
2025-01-25,Email Marketing,5201,580,208,117,96,37,192082.88,1537.13
2025-01-25,Facebook Ads,16621,369,85,41,26,6,31219.34,5409.47
2025-01-25,Google Ads,5789,291,63,36,29,7,40387.82,5724.88
2025-01-25,Instagram Ads,13609,355,53,21,14,3,16800.14,4572.06
2025-01-25,LinkedIn Ads,2901,71,18,11,9,3,31433.03,3077.92
2025-01-25,Organic Search,5280,346,86,47,33,12,89883.61,757.38
2025-01-25,Referral,3368,382,179,123,101,47,468767.1,911.02
2025-01-25,YouTube Ads,5013,60,12,5,3,0,0.0,651.39
2025-01-26,Email Marketing,5375,729,286,164,129,40,274160.08,3628.56
2025-01-26,Facebook Ads,9183,212,50,24,17,3,16016.92,2190.17
2025-01-26,Google Ads,5880,233,51,28,19,5,37005.35,3419.54
2025-01-26,Instagram Ads,15245,344,61,29,19,3,17145.75,3762.01
2025-01-26,LinkedIn Ads,2296,77,15,10,7,2,23475.72,3474.49
2025-01-26,Organic Search,9230,680,164,92,63,26,220433.28,853.69
2025-01-26,Referral,2844,485,195,132,106,46,451300.18,570.01
2025-01-26,YouTube Ads,7545,121,21,8,5,1,4993.93,2322.46
2025-01-27,Email Marketing,3129,279,110,66,55,18,108221.11,818.99
2025-01-27,Facebook Ads,18416,498,114,50,33,7,37729.32,4588.91
2025-01-27,Google Ads,14921,828,182,116,83,27,206115.92,14743.56
2025-01-27,Instagram Ads,10807,298,55,27,16,4,19096.5,4010.87
2025-01-27,LinkedIn Ads,4425,156,30,20,15,4,41363.45,5826.71
2025-01-27,Organic Search,9955,440,110,57,42,17,105128.83,573.78
2025-01-27,Referral,3342,487,197,147,115,53,409029.64,1445.1
2025-01-27,YouTube Ads,5995,74,12,4,2,0,0.0,1116.97
2025-01-28,Email Marketing,5271,733,227,135,103,34,202369.23,3087.45
2025-01-28,Facebook Ads,13397,240,44,20,15,4,16088.25,3212.43
2025-01-28,Google Ads,13139,636,146,86,66,19,145536.44,9735.32
2025-01-28,Instagram Ads,11577,228,30,12,8,1,4230.4,2450.35
2025-01-28,LinkedIn Ads,2048,50,13,9,7,2,25479.59,1609.74
2025-01-28,Organic Search,9382,523,123,71,55,24,166709.3,1346.1
2025-01-28,Referral,3064,440,187,137,107,52,463403.43,846.1
2025-01-28,YouTube Ads,9615,268,52,22,13,2,10949.74,3082.45
2025-01-29,Email Marketing,6219,728,221,142,117,38,235743.0,3596.26
2025-01-29,Facebook Ads,19478,507,93,41,28,7,30592.74,6403.2
2025-01-29,Google Ads,10122,510,104,53,42,10,50363.25,7503.41
2025-01-29,Instagram Ads,8915,121,22,10,6,1,5735.72,916.6
2025-01-29,LinkedIn Ads,3181,112,27,17,12,3,41619.51,4737.63
2025-01-29,Organic Search,11241,786,208,117,81,31,206889.25,2244.95
2025-01-29,Referral,2116,303,134,95,83,35,265734.4,376.63
2025-01-29,YouTube Ads,11208,256,43,20,14,3,13513.45,4912.45
2025-01-30,Email Marketing,6632,990,306,180,149,47,303908.7,3628.6
2025-01-30,Facebook Ads,19816,575,88,37,24,6,26562.14,7891.59
2025-01-30,Google Ads,12550,549,156,95,77,24,159241.94,8660.08
2025-01-30,Instagram Ads,12564,319,62,28,19,4,19720.18,2897.43
2025-01-30,LinkedIn Ads,4755,178,43,30,22,7,78633.76,5373.22
2025-01-30,Organic Search,11543,548,125,72,53,18,109906.81,1382.05
2025-01-30,Referral,3237,389,192,131,106,43,414087.95,626.76
2025-01-30,YouTube Ads,11974,207,37,16,11,2,9650.49,2880.46
2025-01-31,Email Marketing,5991,787,314,201,163,55,361421.68,3076.01
2025-01-31,Facebook Ads,15707,250,51,24,17,4,22439.91,3183.82
2025-01-31,Google Ads,11956,359,94,52,42,10,64429.19,7137.65
2025-01-31,Instagram Ads,9968,251,43,16,9,1,5215.36,3136.06
2025-01-31,LinkedIn Ads,5154,156,34,21,16,5,55515.3,4956.43
2025-01-31,Organic Search,7065,398,106,57,42,17,120474.01,544.84
2025-01-31,Referral,2003,205,82,60,48,21,206262.79,327.48
2025-01-31,YouTube Ads,6815,126,26,12,7,1,4965.94,1837.32
2025-02-01,Email Marketing,4026,575,173,106,89,31,158239.99,2766.02
2025-02-01,Facebook Ads,13024,221,49,24,19,3,13693.12,1856.26
2025-02-01,Google Ads,5384,174,47,27,20,6,32860.35,3767.99
2025-02-01,Instagram Ads,8396,133,28,11,7,1,5353.42,1349.71
2025-02-01,LinkedIn Ads,1922,57,10,6,5,1,12055.48,2316.96
2025-02-01,Organic Search,8303,418,108,64,45,18,138527.83,583.61
2025-02-01,Referral,2033,400,184,126,99,41,317868.9,580.25
2025-02-01,YouTube Ads,9311,197,36,13,9,2,10831.34,2103.31
2025-02-02,Email Marketing,2665,225,77,49,39,13,82076.28,521.19
2025-02-02,Facebook Ads,11515,243,52,25,16,4,19673.92,3315.69
2025-02-02,Google Ads,8870,287,70,40,28,9,63063.6,6457.43
2025-02-02,Instagram Ads,6435,158,23,9,5,1,4838.77,1942.97
2025-02-02,LinkedIn Ads,2396,89,23,16,12,4,55440.25,4423.28
2025-02-02,Organic Search,11389,628,164,97,68,27,226221.21,988.65
2025-02-02,Referral,2322,379,181,124,108,48,436209.47,498.73
2025-02-02,YouTube Ads,8969,146,30,14,8,1,4404.03,1665.44
2025-02-03,Email Marketing,5355,736,254,148,118,45,240638.54,2212.14
2025-02-03,Facebook Ads,17643,398,98,45,35,9,38987.19,4952.19
2025-02-03,Google Ads,6842,388,102,53,40,12,91766.99,5755.84
2025-02-03,Instagram Ads,16701,314,45,17,11,2,11161.03,3779.14
2025-02-03,LinkedIn Ads,2317,80,15,10,8,2,23143.5,3536.39
2025-02-03,Organic Search,12408,906,188,98,68,26,214408.45,1722.04
2025-02-03,Referral,2953,478,208,152,125,62,457485.24,1084.24
2025-02-03,YouTube Ads,9733,160,31,11,6,1,5674.08,1963.49
2025-02-04,Email Marketing,4461,641,240,151,113,44,246818.1,2679.39
2025-02-04,Facebook Ads,15837,460,109,56,43,11,63958.29,4518.12
2025-02-04,Google Ads,7792,384,103,59,44,11,65030.23,5503.45
2025-02-04,Instagram Ads,14378,301,42,18,12,3,13682.4,3258.79
2025-02-04,LinkedIn Ads,5907,131,29,17,13,5,71458.54,4663.7
2025-02-04,Organic Search,13464,690,186,95,72,29,195044.76,823.22
2025-02-04,Referral,1037,152,65,46,37,15,107166.43,377.93
2025-02-04,YouTube Ads,11320,306,60,26,19,3,13437.06,3301.65
2025-02-05,Email Marketing,5438,683,269,164,135,47,241667.63,2665.28
2025-02-05,Facebook Ads,15187,253,40,21,15,4,20574.18,3580.67
2025-02-05,Google Ads,12945,401,103,66,54,16,119905.93,5869.2
2025-02-05,Instagram Ads,12691,239,37,16,11,2,9373.52,3166.19
2025-02-05,LinkedIn Ads,4428,144,34,23,17,5,59612.78,4620.17
2025-02-05,Organic Search,8289,451,107,53,36,13,90922.53,1327.32
2025-02-05,Referral,2446,292,134,90,72,32,224735.75,295.22
2025-02-05,YouTube Ads,6533,70,11,4,2,0,0.0,1058.87
2025-02-06,Email Marketing,5281,558,174,102,84,25,142738.56,1250.22
2025-02-06,Facebook Ads,13922,355,88,36,24,5,24110.21,3888.24
2025-02-06,Google Ads,14317,600,125,74,53,15,114340.01,11444.47
2025-02-06,Instagram Ads,16983,397,73,30,22,6,22818.78,5061.11
2025-02-06,LinkedIn Ads,4545,95,19,11,8,2,23838.39,3067.53
2025-02-06,Organic Search,14475,966,245,131,98,34,297155.27,2194.94
2025-02-06,Referral,2837,531,250,165,143,58,430731.86,1098.07
2025-02-06,YouTube Ads,5081,93,15,6,4,0,0.0,1044.39
2025-02-07,Email Marketing,4703,399,136,79,64,23,125023.06,1234.42
2025-02-07,Facebook Ads,11675,313,60,31,23,6,29171.82,4512.35
2025-02-07,Google Ads,8431,437,115,72,57,16,93218.3,9058.86
2025-02-07,Instagram Ads,10507,223,36,16,11,2,8267.44,2145.68
2025-02-07,LinkedIn Ads,3722,85,22,14,10,3,39553.53,3647.9
2025-02-07,Organic Search,14892,866,220,113,83,29,257869.51,1741.45
2025-02-07,Referral,2152,223,89,61,48,19,159135.81,560.27
2025-02-07,YouTube Ads,7024,196,30,14,9,2,11306.83,3141.77
2025-02-08,Email Marketing,5187,488,165,91,72,25,173201.44,1309.43
2025-02-08,Facebook Ads,12447,287,64,33,23,5,21946.24,2817.0
2025-02-08,Google Ads,12614,487,144,80,60,17,92861.4,9454.66
2025-02-08,Instagram Ads,6489,113,17,8,5,1,4078.39,1250.15
2025-02-08,LinkedIn Ads,3209,104,23,15,12,4,51387.55,4416.68
2025-02-08,Organic Search,12057,830,201,117,81,34,285009.49,1037.2
2025-02-08,Referral,1553,291,143,95,78,38,364444.42,572.34
2025-02-08,YouTube Ads,7752,135,22,8,5,0,0.0,2040.22
2025-02-09,Email Marketing,2587,387,142,89,69,20,133365.78,1630.67
2025-02-09,Facebook Ads,8844,147,34,15,11,3,17300.79,1240.27
2025-02-09,Google Ads,9156,512,152,85,70,22,173099.11,10104.47
2025-02-09,Instagram Ads,10141,204,38,19,11,2,10490.83,2410.07
2025-02-09,LinkedIn Ads,4054,91,19,12,9,2,29574.48,3113.48
2025-02-09,Organic Search,10764,492,128,73,55,23,180338.68,1324.39
2025-02-09,Referral,1075,159,64,44,36,14,102661.92,269.92
2025-02-09,YouTube Ads,9058,262,40,19,12,2,10002.5,2821.38
2025-02-10,Email Marketing,5762,670,210,131,101,35,184367.99,1911.39
2025-02-10,Facebook Ads,17641,510,97,51,35,8,42247.62,4886.92
2025-02-10,Google Ads,12945,662,135,68,51,14,81802.19,10806.38
2025-02-10,Instagram Ads,17768,384,62,29,18,4,18794.8,4040.29
2025-02-10,LinkedIn Ads,4343,141,26,18,13,4,56079.17,6549.55
2025-02-10,Organic Search,11666,491,127,67,45,18,122913.16,537.01
2025-02-10,Referral,3120,331,160,104,83,39,284921.41,540.37
2025-02-10,YouTube Ads,7521,115,24,9,6,1,5819.89,1648.89
2025-02-11,Email Marketing,7110,992,318,195,155,60,381337.58,2626.04
2025-02-11,Facebook Ads,8052,140,30,14,11,3,16215.24,2051.76
2025-02-11,Google Ads,8773,516,107,64,49,14,99562.0,10488.79
2025-02-11,Instagram Ads,10278,140,28,13,7,1,4800.8,1917.66
2025-02-11,LinkedIn Ads,3730,108,21,13,9,2,24165.04,4897.95
2025-02-11,Organic Search,11469,594,125,70,53,20,143707.85,1360.06
2025-02-11,Referral,3139,376,183,124,101,40,341903.43,459.86
2025-02-11,YouTube Ads,6873,183,27,10,6,0,0.0,2057.59
2025-02-12,Email Marketing,7492,1010,381,226,178,58,316475.3,2219.06
2025-02-12,Facebook Ads,16130,317,72,37,26,7,28237.27,2814.6
2025-02-12,Google Ads,9928,418,105,61,42,12,78685.16,9879.43
2025-02-12,Instagram Ads,15471,385,54,22,13,2,9671.84,4778.62
2025-02-12,LinkedIn Ads,3392,93,16,10,8,3,30353.92,4365.53
2025-02-12,Organic Search,8219,487,126,68,46,20,167111.37,1405.21
2025-02-12,Referral,3973,613,304,199,162,68,504723.8,853.09
2025-02-12,YouTube Ads,9356,239,45,16,11,2,10696.52,3317.72
2025-02-13,Email Marketing,7268,704,278,158,133,53,369001.24,2911.16
2025-02-13,Facebook Ads,9767,147,31,14,9,2,8967.57,1721.02
2025-02-13,Google Ads,7599,306,89,48,36,12,62239.32,6449.63
2025-02-13,Instagram Ads,12506,286,39,16,11,2,9331.26,3096.25
2025-02-13,LinkedIn Ads,2175,50,11,6,4,1,13965.71,2481.19
2025-02-13,Organic Search,11125,560,131,73,50,20,131406.46,1658.92
2025-02-13,Referral,3377,644,318,237,197,98,733531.4,1619.42
2025-02-13,YouTube Ads,8338,203,33,14,9,1,5543.25,3177.12
2025-02-14,Email Marketing,5820,611,223,128,98,38,228452.8,1408.61
2025-02-14,Facebook Ads,11860,328,73,30,21,4,21299.47,3728.12
2025-02-14,Google Ads,9988,303,60,33,27,7,39663.59,6164.12
2025-02-14,Instagram Ads,8303,138,22,11,8,1,4543.45,1701.13
2025-02-14,LinkedIn Ads,3569,125,33,24,19,6,67530.04,5718.87
2025-02-14,Organic Search,7987,331,67,34,26,9,69703.8,960.2
2025-02-14,Referral,2309,364,164,119,96,41,403414.15,1014.9
2025-02-14,YouTube Ads,11247,206,42,17,11,1,4372.27,3277.73
2025-02-15,Email Marketing,5649,834,268,165,135,51,285898.95,2725.42
2025-02-15,Facebook Ads,15070,414,75,37,28,7,40262.36,3751.32
2025-02-15,Google Ads,7068,393,86,43,30,10,62282.36,7494.2
2025-02-15,Instagram Ads,10990,181,30,11,6,1,4633.13,1267.01
2025-02-15,LinkedIn Ads,3476,73,20,12,9,2,20014.74,2526.41
2025-02-15,Organic Search,7588,519,137,70,50,22,197000.65,1356.35
2025-02-15,Referral,2773,386,177,126,99,44,330086.41,933.6
2025-02-15,YouTube Ads,8894,192,41,14,8,1,5428.85,2489.4
2025-02-16,Email Marketing,6115,494,182,117,92,29,192393.43,2032.62
2025-02-16,Facebook Ads,14086,308,74,37,28,8,44913.13,3054.9
2025-02-16,Google Ads,10701,353,88,50,37,12,85099.54,7863.1
2025-02-16,Instagram Ads,7775,136,21,10,7,1,4924.15,1644.16
2025-02-16,LinkedIn Ads,4920,147,32,19,15,5,50629.84,5540.0
2025-02-16,Organic Search,9280,730,149,82,62,27,226800.28,991.71
2025-02-16,Referral,2259,315,130,95,75,32,307655.75,497.73
2025-02-16,YouTube Ads,8252,214,35,15,10,2,8048.63,4079.03
